T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,28978,131.0578,0,130.28,131.46,131.46,130.28,1672736400000,596,,0,,0,0,0,0,0,false
,30130,131.1856,0,131.36,131.13,131.44,131,1672736700000,463,,0,,0,0,0,0,0,false
,7838,131.2411,0,131.19,131.22,131.35,131.19,1672737000000,179,,0,,0,0,0,0,0,false
,14795,131.2456,0,131.21,131.1,131.32,131.09,1672737300000,225,,0,,0,0,0,0,0,false
,19138,131.03,0,131.01,131.13,131.13,130.95,1672737600000,283,,0,,0,0,0,0,0,false
,4796,130.9789,0,131.14,130.9,131.14,130.9,1672737900000,168,,0,,0,0,0,0,0,false
,6731,130.9302,0,130.92,130.94,130.97,130.9,1672738200000,144,,0,,0,0,0,0,0,false
,11158,131.111,0,131.02,131.15,131.24,131.02,1672738800000,150,,0,,0,0,0,0,0,false
,10712,131.266,0,131.22,131.3,131.3,131.17,1672739100000,122,,0,,0,0,0,0,0,false
,1732,131.2677,0,131.3,131.3,131.3,131.17,1672739400000,53,,0,,0,0,0,0,0,false
,7675,131.2547,0,131.23,131.3,131.3,131.23,1672739700000,130,,0,,0,0,0,0,0,false
,3382,131.3195,0,131.4,131.26,131.4,131.25,1672740000000,111,,0,,0,0,0,0,0,false
,6240,131.2173,0,131.23,131.24,131.29,131.15,1672740300000,133,,0,,0,0,0,0,0,false
,2807,131.1095,0,131.2,131.13,131.2,131.01,1672740600000,91,,0,,0,0,0,0,0,false
,4052,131.0027,0,131.05,130.93,131.05,130.93,1672740900000,135,,0,,0,0,0,0,0,false
,4698,130.9068,0,130.93,130.88,130.93,130.88,1672741200000,121,,0,,0,0,0,0,0,false
,12450,130.8321,0,130.84,130.8,130.92,130.8,1672741500000,200,,0,,0,0,0,0,0,false
,242,130.8009,0,130.8,130.8,130.8,130.8,1672741800000,8,,0,,0,0,0,0,0,false
,5214,130.9538,0,130.88,131,131.02,130.87,1672742400000,101,,0,,0,0,0,0,0,false
,2097,131.0378,0,131.05,131.04,131.05,131.02,1672742700000,57,,0,,0,0,0,0,0,false
,526,131.0031,0,131,131,131,131,1672743000000,28,,0,,0,0,0,0,0,false
,1145,130.998,0,130.99,131,131,130.99,1672743300000,23,,0,,0,0,0,0,0,false
